node1,node2
RJ_Ajmer,RJ_Jaipur
RJ_Ajmer,RJ_Bhilwara
RJ_Ajmer,RJ_Tonk
RJ_Rajsamand,RJ_Chittorgarh
RJ_Rajsamand,RJ_Udaipur
RJ_Rajsamand,RJ_Bhilwara
RJ_Udaipur,RJ_Chittorgarh
RJ_Udaipur,RJ_Dungarpur
RJ_Udaipur,GJ_Sabarkantha
RJ_Udaipur,RJ_Pratapgarh
RJ_Udaipur,GJ_Aravalli
UP_Unnao,UP_Lucknow
UP_Unnao,UP_Kanpur Nagar
UP_Unnao,UP_Rae Bareli
UP_Unnao,UP_Fatehpur
UP_Unnao,UP_Hardoi
UP_Hardoi,UP_Lucknow
UP_Hardoi,UP_Kanpur Nagar
UP_Hardoi,UP_Shahjahanpur
UP_Hardoi,UP_Sitapur
UP_Hardoi,UP_Farrukhabad
UP_Hardoi,UP_Kannauj
UP_Hardoi,UP_Lakhimpur Kheri
UP_Lucknow,UP_Rae Bareli
UP_Lucknow,UP_Barabanki
UP_Lucknow,UP_Sitapur
UP_Kanpur Nagar,UP_Hamirpur
UP_Kanpur Nagar,UP_Kanpur Dehat
UP_Kanpur Nagar,UP_Fatehpur
UP_Kanpur Nagar,UP_Kannauj
UP_Fatehpur,UP_Hamirpur
UP_Fatehpur,UP_Pratapgarh
UP_Fatehpur,UP_Rae Bareli
UP_Fatehpur,UP_Banda
UP_Fatehpur,UP_Kaushambi
UP_Fatehpur,UP_Chitrakoot
UP_Rae Bareli,UP_Pratapgarh
UP_Rae Bareli,UP_Amethi
UP_Rae Bareli,UP_Kaushambi
UP_Rae Bareli,UP_Barabanki
TN_Kanyakumari,KL_Thiruvananthapuram
TN_Kanyakumari,TN_Tirunelveli
TN_Tirunelveli,KL_Kollam
TN_Tirunelveli,TN_Thoothukkudi
TN_Tirunelveli,TN_Virudhunagar
TN_Tirunelveli,TN_Virudhunagar
TN_Tirunelveli,KL_Idukki
TN_Tirunelveli,KL_Pathanamthitta
TN_Tirunelveli,KL_Thiruvananthapuram
KL_Thiruvananthapuram,KL_Kollam
TN_Virudhunagar,TN_Madurai
TN_Virudhunagar,TN_Sivaganga
TN_Virudhunagar,TN_Ramanathapuram
TN_Virudhunagar,TN_Ramanathapuram
TN_Virudhunagar,TN_Thoothukkudi
TN_Virudhunagar,TN_Theni
TN_Virudhunagar,KL_Idukki
KL_Idukki,KL_Ernakulam
KL_Idukki,KL_Kottayam
KL_Idukki,TN_Theni
KL_Idukki,TN_Dindigul
KL_Idukki,TN_Dindigul
KL_Idukki,TN_Tiruppur
KL_Idukki,KL_Pathanamthitta
TN_Thoothukkudi,TN_Ramanathapuram
TN_Thoothukkudi,TN_Ramanathapuram
