stateid,weekid,dose1,dose2
MH,10,1073250,128956
MH,11,2474201,74336
MH,12,2473839,160829
MH,13,1879952,335766
MH,14,1477489,613961
MH,15,1311233,752567
MH,16,990331,662868
MH,17,1077768,888011
MH,18,627477,181306
MH,19,1375447,133559
MH,20,1568454,250105
MH,21,1415739,401441
MH,22,1440723,309258
MH,23,2912137,503333
MH,24,2025706,870945
MH,25,1527907,887485
MH,26,1738839,1298785
MH,27,1017462,801039
MH,28,1811093,1348164
MH,29,1571135,755234
MH,30,1644580,866488
ML,1,709,0
ML,2,2361,0
ML,3,2515,0
ML,4,7320,91
ML,5,16523,1592
ML,6,10786,1923
ML,7,7128,1902
ML,8,10312,5466
ML,9,10290,10536
ML,10,10160,10000
ML,11,7903,3304
ML,12,17079,3428
ML,13,22439,5708
ML,14,32140,7907
ML,15,79815,8679
ML,16,37901,7371
ML,17,51381,6154
ML,18,33455,92
ML,19,29111,168
ML,20,12953,141
ML,21,24645,226
ML,22,87909,383
ML,23,72202,1434
ML,24,62869,6993
ML,25,62582,14007
ML,26,64914,22242
ML,27,58666,44507
ML,28,52216,34162
ML,29,44129,27889
ML,30,36387,31054
MN,1,1097,0
MN,2,1836,0
MN,3,4048,0
MN,4,13830,55
MN,5,16712,1299
MN,6,10789,899
MN,7,13567,2286
MN,8,7923,5503
MN,9,5794,9586
MN,10,5835,10125
MN,11,3825,4142
MN,12,4893,9491
MN,13,12176,6624
MN,14,22112,5755
MN,15,77827,5938
MN,16,61350,5192
MN,17,43660,2830
MN,18,36438,341
MN,19,36977,270
MN,20,40801,580
MN,21,44617,516
MN,22,26946,711
MN,23,37679,925
MN,24,113145,2622
MN,25,132645,8924
MN,26,146530,19403
MN,27,106194,53225
MN,28,79047,48176
MN,29,42589,33042
MN,30,23004,27890
MP,1,38428,0
MP,2,246354,0
MP,3,48050,0
MP,4,215440,3
MP,5,83365,3806
MP,6,13079,155853
MP,7,173094,72374
MP,8,244648,102524
MP,9,721547,121546
MP,10,762733,40898
MP,11,964061,37378
MP,12,1355698,65413
MP,13,1680420,157460
MP,14,395867,195346
MP,15,100502,151316
MP,16,158351,328523
MP,17,271204,258266
MP,18,554907,62412
MP,19,1070688,31114
MP,20,1698452,48389
MP,21,1159319,109117
MP,22,1008036,112871
